Account_ID,Account_Name,Account_Type,Industry,Billing_Street,Billing_City,Billing_State,Billing_Postal_Code,Billing_Country,Phone,Website,Annual_Revenue,Employee_Count,Description,Rating,Customer_Since,Last_Activity_Date,Account_Owner,Lead_Source,Status,Database_Requirements,Current_Database,Deployment_Type,Expected_Contract_Value,Sales_Stage,Next_Steps,Notes
001A0000011oPqR,Crestone,Enterprise,Consulting,5678 Consulting Blvd,Washington,DC,20001,USA,+1-202-555-1111,www.crestone-consulting.com,15000000,400,Consulting firm needing client data management solution,Cold,2024-06-01,2024-12-06,Christopher Miller,Trade Show,Qualified,Client Data Management,MongoDB,Hybrid Cloud,250000,Discovery,Technical assessment planned,"12/06/2024 - Technical assessment planned for next week. Security team will review client data requirements. 12/03/2024 - Follow-up call with Managing Partner. Current MongoDB setup causing client data isolation issues. 11/30/2024 - Sent consulting case studies and security benchmarks. 11/27/2024 - Initial discovery call. Managing client data for 200+ consulting engagements. 11/24/2024 - Met at Consulting Tech Summit. Managing Partner interested in client data management. 11/21/2024 - Research shows they're expanding to government consulting. 11/20/2024 - First contact at trade show. Client confidentiality requirements identified."
001A0000012sTuV,Solstice,Enterprise,Media,7890 Media Street,Los Angeles,CA,90001,USA,+1-213-555-1212,www.solstice-media.com,30000000,900,Media company requiring content management database,Hot,2024-02-10,2024-12-14,Sophia Taylor,Direct,Qualified,Content Management,PostgreSQL,Cloud,400000,Proposal,Content workflow review,"12/14/2024 - Content workflow review scheduled for next week. Media operations team will attend. 12/11/2024 - Follow-up call with VP Technology. Current PostgreSQL setup causing content processing delays. 12/08/2024 - Sent media case studies and content management benchmarks. 12/05/2024 - Initial discovery call. Processing 1M+ media files daily across 20 platforms. 12/02/2024 - Direct outreach to CTO. Content management system needs high performance. 11/29/2024 - Research shows they're expanding streaming services. 11/26/2024 - First contact via direct outreach. High volume media processing identified."
001A0000013wXyZ,Centurion,Enterprise,Defense,0123 Defense Drive,Arlington,VA,22201,USA,+1-703-555-1313,www.centurion-defense.com,100000000,5000,Defense contractor requiring secure distributed database,Hot,2024-01-05,2024-12-15,James Wilson,Partner Referral,Qualified,Secure Database,Oracle,On-Premise,1500000,Proposal,Security clearance review,"12/15/2024 - Security clearance review scheduled for next week. Defense security team will attend. 12/12/2024 - Follow-up call with CISO. Current Oracle setup not meeting Top Secret requirements. 12/09/2024 - Sent defense case studies and security benchmarks. 12/06/2024 - Initial discovery call. Managing classified data across 50+ defense contracts. 12/03/2024 - Introduced by Lockheed Martin partner. CTO interested in secure database solution. 11/30/2024 - Research shows recent defense contract wins. 11/27/2024 - First contact via partner referral. Top Secret clearance required."
001A0000014aBcD,Hargrove,Enterprise,Education,2345 Education Way,Austin,TX,73301,USA,+1-512-555-1414,www.hargrove-edu.com,25000000,1200,Educational institution seeking student data management,Warm,2024-03-15,2024-12-12,Patricia Johnson,Website,Qualified,Student Data Management,SQL Server,Cloud,350000,Discovery,Compliance review scheduled,"12/12/2024 - Compliance review scheduled for next week. FERPA compliance team will attend. 12/09/2024 - Follow-up call with CIO. Current SQL Server setup not meeting FERPA requirements. 12/06/2024 - Sent education case studies and FERPA compliance documentation. 12/03/2024 - Initial discovery call. Managing 50K+ student records across 10 campuses. 11/30/2024 - Website inquiry about FERPA-compliant database solutions. 11/27/2024 - Research shows recent FERPA audit findings. 11/24/2024 - First contact via website form. FERPA compliance required."
001A0000015eFgH,Acadian,Enterprise,Transportation,4567 Transport Ave,Miami,FL,33101,USA,+1-305-555-1515,www.acadian-transport.com,35000000,1800,Transportation company needing fleet management database,Hot,2024-02-25,2024-12-13,Daniel Martinez,Direct,Qualified,Fleet Management,MySQL,Hybrid Cloud,500000,Proposal,Operational review scheduled,"12/13/2024 - Operational review scheduled for next week. Fleet operations team will attend. 12/10/2024 - Follow-up call with VP Operations. Current MySQL setup causing fleet tracking delays. 12/07/2024 - Sent transportation case studies and fleet management benchmarks. 12/04/2024 - Initial discovery call. Managing 500+ vehicles across 25 states. 12/01/2024 - Direct outreach to CTO. Fleet management system needs real-time tracking. 11/28/2024 - Research shows they're expanding to new markets. 11/25/2024 - First contact via direct outreach. Real-time fleet tracking critical."
001A0000016iJkL,Blackwood,Enterprise,Pharmaceuticals,6789 Pharma Drive,San Diego,CA,92101,USA,+1-619-555-1616,www.blackwood-pharma.com,60000000,2500,Pharmaceutical company requiring clinical trial database,Warm,2024-04-20,2024-12-11,Rachel Green,Trade Show,Qualified,Clinical Trials,PostgreSQL,On-Premise,700000,Qualification,Regulatory review planned,"12/11/2024 - Regulatory review planned for next week. FDA compliance team will attend. 12/08/2024 - Follow-up call with VP R&D. Current PostgreSQL setup not meeting FDA requirements. 12/05/2024 - Sent pharmaceutical case studies and FDA compliance documentation. 12/02/2024 - Initial discovery call. Managing 100+ clinical trials across 30 countries. 11/29/2024 - Met at Pharma Tech Expo. VP R&D interested in clinical trial database. 11/26/2024 - Research shows they're expanding clinical trial operations. 11/23/2024 - First contact at trade show. FDA compliance essential."
001A0000017mNoP,Trident,Enterprise,Maritime,0123 Maritime Blvd,Seattle,WA,98101,USA,+1-206-555-1717,www.trident-maritime.com,40000000,1500,Maritime company seeking vessel tracking database,Hot,2024-01-20,2024-12-14,Kevin O'Brien,Referral,Qualified,Vessel Tracking,MongoDB,Cloud,450000,Proposal,Technical evaluation scheduled,"12/14/2024 - Technical evaluation scheduled for next week. Maritime operations team will attend. 12/11/2024 - Follow-up call with VP Operations. Current MongoDB setup causing vessel tracking delays. 12/08/2024 - Sent maritime case studies and vessel tracking benchmarks. 12/05/2024 - Initial discovery call. Managing 200+ vessels across 7 oceans. 12/02/2024 - Referred by existing customer. CTO interested in vessel tracking solution. 11/29/2024 - Research shows they're expanding global operations. 11/26/2024 - First contact via referral. Global vessel monitoring needs identified."
001A0000018qRsT,Novant,Enterprise,Healthcare,2345 Healthcare Plaza,Charlotte,NC,28201,USA,+1-704-555-1818,www.novant-health.com,80000000,3500,Healthcare system requiring patient care database,Hot,2024-02-05,2024-12-15,Michelle Lee,Direct,Qualified,Patient Care,Oracle,Hybrid Cloud,900000,Proposal,Clinical workflow review,"12/15/2024 - Clinical workflow review scheduled for next week. Clinical operations team will attend. 12/12/2024 - Follow-up call with CMO. Current Oracle setup causing patient care delays. 12/09/2024 - Sent healthcare case studies and patient safety benchmarks. 12/06/2024 - Initial discovery call. Managing 1M+ patient records across 40 hospitals. 12/03/2024 - Direct outreach to CTO. Patient care system needs high reliability. 11/30/2024 - Research shows recent patient safety initiatives. 11/27/2024 - First contact via direct outreach. Patient safety critical requirement."
001A0000019uVwX,Weston,Enterprise,Construction,4567 Construction Way,Phoenix,AZ,85001,USA,+1-602-555-1919,www.weston-construction.com,30000000,2000,Construction company needing project management database,Warm,2024-05-10,2024-12-10,Andrew Thompson,Website,Qualified,Project Management,SQL Server,Cloud,400000,Discovery,Business process review,"12/10/2024 - Business process review in progress. Project management team reviewing needs. 12/07/2024 - Follow-up call with VP Operations. Current SQL Server setup causing project coordination delays. 12/04/2024 - Sent construction case studies and project management benchmarks. 12/01/2024 - Initial discovery call. Managing 100+ construction projects across 20 states. 11/28/2024 - Website inquiry about project management database solutions. 11/25/2024 - Research shows they're expanding to new markets. 11/22/2024 - First contact via website form. Multi-site project coordination needed."
001A0000020yZaB,Apex Global,Enterprise,Technology,6789 Global Tech Drive,San Jose,CA,95101,USA,+1-408-555-2020,www.apexglobal.com,120000000,4000,Global tech company requiring distributed database for AI/ML,Hot,2024-01-10,2024-12-15,Alexandra Chen,Partner Referral,Qualified,AI/ML Database,PostgreSQL,Hybrid Cloud,1200000,Proposal,AI workload assessment,"12/15/2024 - AI workload assessment scheduled for next week. AI/ML engineering team will attend. 12/12/2024 - Follow-up call with VP Engineering. Current PostgreSQL setup causing ML pipeline delays. 12/09/2024 - Sent AI/ML case studies and performance benchmarks. 12/06/2024 - Initial discovery call. Processing 10M+ ML predictions daily across 5 continents. 12/03/2024 - Introduced by Google Cloud partner. CTO interested in AI/ML database solution. 11/30/2024 - Research shows they're expanding AI capabilities globally. 11/27/2024 - First contact via partner referral. Machine learning pipeline integration needed." 
